1,2,3,4,5,6,7,8,9,10,11,12
0,2,3,4,5,6,7,8,9,10,11,12
1,3,4,0,5,6,7,8,9,10,11,12
4,2,5,1,6,0,7,8,9,10,11,12
3,5,2,6,1,7,0,8,9,10,11,12
4,6,3,7,2,8,1,9,0,10,11,12
7,5,8,4,3,9,2,10,11,1,12,0
6,8,5,9,4,10,3,11,2,12,1,0
7,9,6,10,5,11,12,4,3,2,1,0
8,10,11,7,12,6,5,4,3,2,1,0
11,9,12,8,7,6,5,4,3,2,1,0
10,12,9,8,7,6,5,4,3,2,1,0
11,10,9,8,7,6,5,4,3,2,1,0
0,1,2,3,4,5,6,7,8,9,10,11
12,11,10,9,8,7,6,5,4,3,2,1
13,0,1,2,3,4,5,6,7,8,9,10
14,12,11,10,9,8,7,6,5,4,3,2
15,13,0,1,2,3,4,5,6,7,8,9
16,14,12,11,10,9,8,7,6,5,4,3
17,15,13,0,1,2,3,19715,4,5,19930,6
18,16,14,12,18617,11,10,9,8,7,6,19930
20,18,16,14,17952,12,18617,11,10,9,8,19943
19,17,15,13,21419,0,21636,1,19714,2,19264,3
21,20,18,16,14,17952,12,18617,11,10,18655,9
23,21,20,18,16,14,17952,12,18617,11,10,18655
22,19,19946,17,21093,15,20797,13,21419,0,21636,19891
24,23,21,20,15006,18,17392,16,16866,14,17952,12
25,22,19,19946,17,21093,15,20797,13,21419,0,21636
12055,26,24,23,21,15007,20,15006,18,17392,16,16866
28,12055,26,24,23,16216,21,15007,20,15006,18,17392
11782,29,28,12055,26,13201,24,13723,23,16216,21,15007
27,25,19572,22,19,19573,19946,17,21093,19220,15,20797
30,11782,29,28,12055,13202,26,13201,24,13723,23,16216
32,30,11782,29,12595,28,12055,13202,26,13201,24,13723
31,20200,27,25,19572,22,19573,19,19946,17,19220,21093
33,32,30,11782,29,12595,28,12055,13202,26,13201,24
35,33,32,30,10333,11782,29,12595,28,12055,13202,26
36,35,33,32,30,10333,11782,29,12595,28,12055,13202
34,22095,31,20200,27,19574,25,19572,22,19163,19573,19
37,36,35,33,32,30,10333,11782,29,12595,28,12055
39,37,36,9280,35,33,9889,32,30,10333,11782,29
40,39,37,36,9280,35,33,9889,32,10035,10333,30
41,40,39,9281,37,11341,36,9280,35,9889,33,32
38,20995,34,22095,19945,31,20200,27,19574,25,19572,22
42,41,40,9028,39,9281,37,11341,36,9280,9282,35
43,38,20995,34,23985,22095,19945,31,20954,20200,27,19574
44,42,8798,41,8797,40,9028,39,9281,37,9051,11341
46,8690,44,9074,42,8798,8691,41,8797,40,9028,8876
45,20961,43,20960,38,20995,20697,23985,34,22095,19945,20954
47,46,8690,44,9074,42,8798,8691,41,8797,40,9028
49,47,46,8622,8690,44,9074,8681,42,8798,8691,41
48,20959,45,20961,20696,43,20960,38,20995,20697,23985,19481
50,10563,49,8692,47,46,8622,8690,44,9074,8681,42
20725,51,20724,48,20959,45,20696,19483,20961,43,20960,20697
52,8860,50,10563,8620,49,8692,47,8619,8622,46,8690
53,20725,51,20695,20724,48,20959,19514,19483,20696,45,20961
54,8860,52,50,10563,8620,8861,49,8692,8619,47,8039
55,20723,53,20725,19947,20695,51,20724,19514,48,20959,19483
56,7559,54,7556,8860,52,8620,50,10563,8861,7842,49
58,7558,56,7446,7559,54,7557,7556,8860,52,7842,8620
57,20520,19949,55,20723,19947,53,20725,19513,20695,51,19514
59,7442,58,7558,7446,7445,56,7559,7557,54,7458,7556
60,20206,20520,57,20437,19949,55,20723,19948,19947,19513,53
7443,61,7376,7442,59,7444,7445,7558,58,7446,7092,56
20205,62,19825,20206,60,20438,20437,20520,57,19949,19826,19948
63,7377,7443,61,7376,7444,7442,59,7445,7092,7558,58
19838,64,20205,19825,62,19340,20438,20206,60,20437,19034,19826
65,6784,7377,63,6786,7443,7376,61,7444,7442,59,6787
19837,66,19838,19337,64,19340,20205,19825,19036,62,20438,19034
7232,67,7831,6784,65,6382,7377,63,6786,7443,7444,6785
20555,68,19338,19837,66,19337,19056,19838,19340,64,19036,20205
69,6383,7232,67,7831,6784,6382,65,6384,6786,7377,63
19341,70,20555,19338,68,23583,19837,19056,19337,66,19055,19838
71,8783,6383,69,5859,7232,67,6607,7831,6382,6784,6384
72,19341,20572,70,20555,23583,19339,19338,68,19056,19837,19055
73,5683,8783,71,5684,5859,6383,69,6607,7232,5858,67
74,20994,72,21091,20572,19341,70,19339,23583,20549,20555,19338
75,5668,6134,5683,73,8783,5682,5684,71,5859,6383,6607
20683,76,20577,74,20994,20576,21091,72,20572,20550,19341,19339
5604,77,5668,5667,75,6134,5683,73,5682,5684,8783,6135
78,20682,20683,76,19652,20577,20576,74,20994,21091,19650,20550
79,5605,5604,77,5667,5668,75,6134,5973,5682,6078,5683
80,20621,78,20682,19652,20683,76,20576,20577,19650,19404,74
81,5666,5605,79,5604,6644,5667,77,5668,5973,6683,6078
83,5669,81,5666,5605,79,6143,5604,6644,5667,77,5668
82,21268,20621,80,20097,20682,78,19652,19651,20683,20576,76
84,5245,83,5669,81,6142,5666,5605,79,6143,5604,6644
20135,85,21268,20134,82,20097,20099,20621,80,20098,19651,19652
4792,86,5246,84,5245,6188,83,5669,7046,81,6142,5666
88,4792,86,5246,84,6341,5245,6188,83,7046,7190,5669
20294,87,20135,20133,85,20134,21268,19789,82,20099,20097,20621
90,19655,20294,87,20133,20135,19632,85,20134,19789,21268,19633
89,5244,88,4792,5246,86,6342,6341,5245,84,6188,7190
92,6573,89,5244,88,7652,4792,6342,5246,86,6341,7189
19656,91,19655,20275,90,19634,20294,87,20133,19632,20135,85
93,7574,92,6574,6573,89,5244,7652,88,6342,4792,7473
94,19656,91,19631,20275,19655,19634,90,20294,19569,19632,20133
95,5824,93,6595,7574,6574,92,6573,6594,89,7652,5244
96,19642,94,19656,19631,91,19568,20275,19634,19655,90,19569
97,5291,95,5824,6595,93,7574,6547,6574,6594,92,6573
98,19641,96,19642,19599,94,19631,19656,19568,18904,91,19634
99,5291,97,5412,95,5824,6595,6547,5814,93,7574,6574
100,19595,19641,98,20165,96,19642,19599,18921,94,18904,19631
101,4742,99,5292,5291,97,5410,5412,5824,95,6595,5495
19594,102,19595,19377,100,19600,20165,19641,98,18921,18315,96
103,4741,101,5212,4742,5292,99,5411,5291,5410,97,5412
20393,104,19596,19594,102,19378,19377,19595,100,18742,19600,20165
105,4740,4855,4741,103,5496,5212,101,4742,5498,5411,5292
106,20393,19596,104,19594,18314,21198,19378,102,19377,19595,18742
107,4856,5863,4740,105,5640,4855,4741,103,5496,5212,5559
108,20734,21197,106,19596,20393,17916,104,21198,18314,19594,19378
109,4856,107,5863,5640,4740,105,5587,4855,5496,4741,103
110,19499,19547,108,20734,21197,17916,106,19596,21198,20393,18314
5407,111,5190,5406,109,4856,107,5640,5863,5587,4740,105
19566,112,19498,19499,110,19547,18229,20734,108,21197,17916,17366
113,5407,5928,5190,111,5406,5606,109,4856,5355,5587,5640
114,18228,17596,19566,112,19498,16966,19499,110,19547,18229,16727
5117,115,5914,5928,113,5407,5239,5606,5190,5406,111,5355
116,17595,18228,114,17596,16965,19566,112,19498,16966,16725,19499
5108,117,5127,5117,5914,5126,115,5239,5928,5048,5407,113
118,20220,17595,116,16965,18228,17596,114,16724,19566,16725,19498
119,4702,5108,5127,117,5126,5914,5117,5050,115,5239,5048
20088,120,19245,20220,118,17535,17595,116,16965,18228,17401,17596
4690,121,4702,4691,119,5108,4317,5126,5127,117,5050,5914
122,19243,20088,120,19245,18875,20220,118,17535,17763,17595,116
123,4690,4504,121,4691,4702,4317,119,5108,5126,5050,4319
124,20403,19501,19243,122,19244,20088,18875,120,19245,19246,20220
4222,125,4088,4504,123,4690,4084,121,4691,4317,4702,4319
18447,126,19019,20403,124,19501,19243,19244,122,20088,18875,18987
4086,127,4222,4088,125,4504,5150,123,4084,4690,4317,4691
128,18447,18289,126,19019,18288,20403,124,18877,19501,19244,19243
3971,129,4086,3972,127,4222,4088,125,5150,4087,4504,4084
18276,130,18290,128,18289,18447,18288,126,19019,20403,18877,124
131,3810,3971,129,3972,4085,3809,4086,127,4088,4087,3973
18024,132,20037,18276,130,18290,17117,18289,128,18447,18288,17547
134,18024,132,20037,17749,18276,130,18290,17117,17116,128,18289
133,3752,3818,3810,3732,131,3971,3809,4085,4150,129,3972
135,17703,134,17115,18024,132,17749,20037,18276,130,16796,17117
