2,1,5,2003,2032,1990,3,7,2048,2004,2002,1989
0,3,1990,2003,2,2002,5,4,2032,1989,2004,6
0,1,5,2032,2003,7,1990,2048,3,2047,2004,10
1,0,2,1990,2002,4,6,2003,1989,1945,8,9
3,1,0,2,6,2002,8,1945,1990,9,1989,13
2,0,1,3,4,2032,7,2003,2048,2047,10,1990
4,3,1,0,2,5,8,2002,1945,9,13,1990
2032,5,2,2003,0,1,1990,3,2002,4,6,8
6,4,2002,3,1990,1,2003,0,2,5,9,1945
8,1945,6,2002,4,3,1990,2003,1,2032,0,2
7,2032,5,2,2003,0,1990,1989,1,3,2002,1945
10,7,2032,5,2048,2,2003,0,1990,1989,1,3
11,10,7,2047,5,2032,2048,2,2003,2004,0,1
9,1945,8,6,2002,1989,4,1990,2004,3,2003,2048
13,1988,9,1945,1989,8,2002,6,2004,4,1990,3
2297,12,2298,11,2446,10,2047,7,2048,2032,5,2001
14,1988,13,2068,1945,9,1989,2004,2001,8,2002,6
16,2068,1988,14,13,1989,2001,2004,1945,9,2002,2048
2030,15,2297,12,2298,2109,11,2446,2334,10,2047,2215
17,2865,2068,16,1988,14,2001,2004,1989,13,2215,1945
2865,19,2001,2068,17,2215,16,2004,1988,2048,2211,14
18,2030,2031,15,2297,2108,2109,12,2298,11,2446,2334
21,18,2031,2030,15,2297,2108,2109,12,2298,11,2211
20,2069,19,2865,17,2210,2068,2001,16,2215,1988,2211
23,19,20,17,2865,16,2069,2068,14,1988,2001,2210
22,21,18,2017,2031,2030,15,2297,2108,2029,2109,12
24,23,19,20,17,16,2865,2069,2068,14,1988,2210
25,22,1963,21,18,2017,2030,2031,15,2297,2108,2029
27,25,22,1963,21,18,2016,2017,2030,2031,15,2297
28,27,25,1884,22,21,18,1963,15,2030,12,2031
26,1954,24,23,1953,19,20,17,2069,16,2865,2068
28,27,1884,25,22,1963,21,18,2016,2017,2030,2031
29,31,28,27,1885,25,1884,22,21,1963,18,1840
29,32,31,28,27,1885,25,1884,22,21,1963,18
30,1891,26,1954,1955,24,23,1953,19,20,17,2069
31,28,1885,27,1884,25,1840,22,1963,21,2016,18
3258,32,29,33,35,31,28,27,1885,25,1884,22
