1919,1,3,1912,1911,2,6,1914
1919,0,1911,2,1912,3,1917,1914
1,1919,0,1911,4,1917,1907,1913
1919,0,1,2,1912,6,1914,1911
2,1911,1,1919,0,3,1913,1907
1913,4,2,1911,1,1912,1919,0
1912,3,1919,0,1911,1,2,4
5,1913,4,2,1911,1,1912,1919
7,1910,5,1913,1907,4,1917,2
1918,6,1914,1912,3,1917,1919,1911
1905,8,1904,7,1910,1889,5,1913
1915,9,1908,1918,6,1914,1912,3
1906,10,1895,1905,8,1904,7,1910
11,1901,1915,1898,9,1908,1918,1899
1902,12,1906,10,1893,1895,1905,8
1903,13,1875,1901,11,1915,1898,1891
1900,14,1894,1902,1896,12,1906,1893
16,1900,1848,1894,14,1902,1896,1864
1916,15,1887,1903,1875,13,1872,1901
1867,17,1835,16,1900,1848,1894,14
1881,18,1916,1887,15,1875,1903,13
19,1867,17,1835,1809,16,1848,1900
1885,20,1863,1881,18,1916,1860,1887
21,1800,19,1867,1805,17,1835,1809
1888,22,1883,1885,20,1863,1866,1881
23,1807,1796,21,1800,1801,19,1867
1880,24,1888,22,1879,1883,1885,20
25,1818,23,1807,1796,21,1831,1800
1767,27,1757,25,1818,1781,23,1807
1871,26,1880,1886,24,1879,1888,22
1753,28,1767,1792,27,1757,25,1818
1865,29,1871,1861,26,1886,1880,1855
1761,30,1753,1758,28,1767,1792,1728
1876,31,1865,29,1841,1871,1861,26
1679,32,1761,30,1753,1758,1718,28
1869,1882,33,1876,1832,31,1865,1849
34,1679,1688,32,1761,30,1753,1718
1822,35,1882,1869,1829,33,1876,1832
1704,36,1715,34,1679,1649,1688,32
1722,38,1674,1704,36,1715,34,1679
37,1798,1822,35,1829,1882,1853,1869
1698,39,1722,38,1674,1704,36,1715
1823,40,1798,1804,37,1822,1829,1787
1726,41,1698,39,1727,1722,1648,38
1786,42,1793,1823,40,1804,1798,1803
1713,43,1726,41,1719,1698,1727,39
1854,44,1786,1783,1793,42,1741,1803
1723,45,1713,43,1705,1726,1719,41
1772,47,1723,45,1702,1713,1705,43
46,1854,1717,44,1786,1783,1741,1709
1777,48,1772,1706,47,1657,1723,45
49,1683,46,1854,1717,1678,44,1786
1725,50,1777,48,1772,1706,1708,47
1644,51,49,1683,1691,46,1854,1678
1692,52,1725,50,1690,1777,48,1706
53,1644,51,1582,1691,49,1683,1655
1668,54,1692,1661,52,1725,1690,50
55,1584,53,1603,1644,1530,51,1582
1664,56,1668,1651,1661,54,1692,1634
1623,57,1581,1525,1584,55,53,1603
1669,1654,58,1664,1641,56,1668,1651
59,1623,1528,57,1581,1525,1584,55
61,1573,59,1528,1520,1623,57,1581
60,1654,1667,1669,58,1641,1664,1629
1579,62,1479,61,1573,1520,1528,59
1643,63,1616,1667,60,1621,1654,1590
1416,64,1494,1579,1479,62,1399,1573
1613,1721,65,1618,1643,1616,63,1590
1492,66,1416,1494,1374,64,1579,1397
1586,67,1721,1587,1613,65,1618,1643
1430,68,1289,1384,1492,66,1374,1494
1585,1563,69,1586,1532,1594,67,1587
70,1430,1289,1348,68,1384,1492,1358
1555,71,1585,1532,1567,1563,69,1594
1298,72,1281,70,1289,1430,1348,68
1519,73,1555,1567,71,1477,1585,1532
1269,74,1222,1298,72,1203,1281,1266
1475,75,1519,1451,73,1555,1477,1567
1212,76,1269,1166,1222,74,1203,1298
1420,77,1407,1475,1451,75,1519,1411
1148,78,1212,76,1166,1215,1269,1222
1490,79,1407,1420,77,1451,1411,1475
1184,80,78,1148,1212,76,1166,1269
82,1184,80,78,1084,1148,76,1212
1428,81,1383,1382,1490,79,1408,1407
1142,83,82,1099,1184,80,78,1084
1175,85,1142,83,1227,82,1099,1184
86,1175,85,1142,83,1227,82,1099
1370,84,1428,1375,1382,1383,81,1341
87,86,1175,1082,85,1142,1067,83
1400,88,1370,1375,1327,84,1428,1382
1048,89,87,1094,1004,86,1175,1082
1363,90,1400,88,1392,1370,1375,84
92,1363,90,1400,88,1392,1370,84
949,91,1048,89,1094,1004,87,939
93,1330,92,1363,1315,90,88,1400
1006,1114,94,949,897,91,1048,939
1346,95,1330,93,1272,92,1363,1315
97,1373,1346,95,1294,1330,93,1272
96,914,1006,1114,94,904,897,949
1395,98,97,1373,1346,95,1294,1330
100,1395,98,1359,97,1373,1321,1346
898,99,834,914,96,1006,904,877
1398,101,1401,100,1325,1395,1359,98
814,102,806,898,736,99,834,877
1386,103,1393,1398,1312,101,1401,1325
696,104,814,806,102,736,898,834
1364,105,1386,1353,103,1393,1312,1322
670,106,673,696,104,814,806,736
108,670,665,673,106,623,696,593
1352,107,1364,1311,105,1353,1310,1386
669,109,665,670,108,593,623,673
110,1352,1304,1311,107,1364,1310,1292
648,111,453,669,665,593,109,396
112,1329,1316,110,1304,1352,1311,1317
113,648,453,396,111,462,593,669
372,411,115,367,396,113,453,648
1347,114,1314,1329,112,1316,1267,1304
116,362,372,367,411,115,329,396
1291,117,1347,1287,1314,114,1230,1316
335,118,362,329,116,367,372,322
1300,119,1286,1291,117,1347,1287,1283
324,308,120,335,322,329,362,118
275,122,324,120,297,308,335,118
121,1300,1290,119,1286,1225,1291,1283
271,123,266,275,122,324,120,297
1446,124,1290,121,1300,1243,1225,1286
250,125,271,123,266,258,275,122
1417,1453,126,1254,1446,124,1250,1290
280,127,250,125,271,267,123,266
251,129,280,127,235,250,125,249
1293,128,1208,1453,1417,126,1254,1250
264,130,230,251,129,280,235,127
1200,131,1079,1208,1293,1147,128,1453
248,132,229,264,130,230,251,231
1279,1131,133,1079,1200,131,1031,1208
248,134,229,234,132,230,264,130
232,228,136,234,229,248,233,134
1089,135,1107,1279,1131,133,1188,1079
226,227,137,228,232,237,233,234
1010,138,1089,1062,135,1107,1188,1131
227,139,226,243,237,228,137,233
239,141,243,227,245,237,139,226
1137,140,1010,903,138,1062,1089,995
239,142,245,261,243,253,141,254
958,143,1137,997,140,1010,903,1179
259,144,261,269,245,253,239,142
270,146,269,261,1932,1933,259,1928
1121,145,958,952,143,1137,997,934
285,147,1950,1948,1947,291,1943,270
148,981,1121,1092,145,952,958,1144
149,285,293,1956,1961,1958,1963,1950
1042,150,1110,981,148,1092,1121,1115
347,151,288,149,285,293,1961,1963
1170,152,1042,150,1110,148,981,1092
1171,154,1170,152,1042,150,1110,1189
153,347,307,1987,1985,1981,1988,1979
1284,155,1171,154,1170,152,1042,1204
157,1284,155,1211,1171,154,1209,1170
394,156,153,307,336,1987,347,1985
158,1412,157,1284,155,1211,1171,154
160,1425,158,1412,157,1284,155,1211
431,159,536,394,156,342,336,153
161,1424,160,1425,158,1396,1412,157
344,162,431,536,159,342,438,394
163,1463,161,1424,160,1425,158,1396
1164,1122,1238,1125,1019,1177,1379,1146
1511,1449,165,1463,163,161,1452,1424
344,449,164,536,438,342,431,162
1238,166,1151,1379,1270,1164,1177,1122
1449,167,1461,1511,1452,1463,163,165
1378,1270,169,1238,1379,1242,166,1151
1151,166,1122,169,1022,1378,1238,1164
1270,171,1307,1378,1242,1354,1379,169
456,449,168,344,429,438,164,536
1461,170,1465,1449,1452,1372,167,1511
1319,1331,173,1307,1354,1308,1270,171
1465,175,1461,1308,1372,170,1354,1319
1319,1308,176,1354,1465,177,1307,1331
498,174,459,429,449,456,451,168
1080,1059,172,1035,1151,1122,166,1022
1356,177,178,1308,1465,1319,175,1354
459,179,498,429,451,501,174,449
1133,180,1059,1054,1080,172,1000,1035
538,182,487,459,179,498,501,451
1064,183,1133,1063,1054,180,1000,1059
184,520,538,182,487,548,459,179
185,1064,1063,183,1030,1133,1054,1000
983,2027,2026,2023,2029,2028,1045,2032
1068,1105,187,1030,185,1063,1064,968
567,186,808,184,520,548,538,182
979,983,188,935,2027,2023,2026,2020
1045,2030,2029,2028,188,2024,968,983
979,191,830,935,983,858,841,870
830,193,858,979,191,836,841,935
968,192,2030,2025,1045,2024,2022,2021
858,194,830,836,761,193,801,979
1108,195,1105,968,1030,189,2025,192
829,196,761,858,836,759,194,752
1105,197,189,1108,1068,195,1030,187
190,567,186,808,643,520,184,760
807,759,198,829,761,196,724,708
792,759,201,807,708,198,761,750
840,200,579,190,867,567,186,675
792,202,759,750,709,708,201,807
712,204,773,709,792,750,202,657
203,840,720,200,579,867,190,567
773,712,205,803,709,657,204,792
803,207,773,729,657,712,205,709
206,857,203,813,720,840,731,200
853,729,208,803,734,207,695,773
831,210,804,729,734,853,208,803
892,209,206,857,813,203,720,828
804,211,831,791,734,210,790,729
212,863,892,209,872,857,206,813
941,213,791,804,211,831,890,790
900,214,872,863,855,212,892,209
1118,215,889,879,941,213,883,791
899,216,900,855,872,883,214,863
917,217,889,1118,879,215,883,941
918,218,929,899,883,855,216,917
219,917,929,889,217,982,1118,883
982,220,929,918,221,883,917,218
947,221,1058,222,917,219,982,929
1058,947,223,222,982,221,929,220
965,223,224,947,1058,221,222,982
137,228,232,234,233,237,136,231
237,226,233,228,137,234,252,240
234,232,233,231,136,229,230,248
132,230,264,130,251,129,235,236
264,251,130,129,235,236,280,127
230,236,235,229,251,264,130,249
136,229,248,234,134,132,230,231
231,252,234,236,238,230,235,255
230,231,229,132,248,264,130,251
249,251,280,250,129,127,241,267
235,249,241,251,267,250,247,280
233,240,252,228,238,231,255,234
242,236,265,241,247,231,249,235
243,141,245,227,237,244,139,254
238,255,252,233,242,265,236,231
246,249,267,279,258,262,263,250
247,241,246,257,236,249,235,262
237,244,227,240,233,139,252,255
240,255,256,237,238,265,252,268
254,243,244,283,237,260,240,256
279,263,267,258,282,274,266,292
246,241,262,300,279,263,249,267
132,229,264,130,230,251,231,129
267,250,246,258,279,280,271,266
125,271,266,123,258,275,122,297
129,280,127,250,125,249,271,267
236,238,231,242,235,241,249,230
254,260,245,283,244,278,286,272
283,244,256,243,272,255,240,278
265,238,242,252,247,496,257,241
268,255,265,496,240,238,242,257
247,300,262,246,331,241,263,274
266,282,297,275,271,123,122,125
144,261,239,142,245,253,243,254
283,278,272,254,345,256,268,244
253,245,254,277,260,239,283,142
263,274,246,338,279,292,328,299
279,292,282,299,258,328,290,297
130,251,129,280,127,235,250,125
247,242,257,496,241,300,273,246
123,275,122,297,282,324,308,120
258,279,266,250,271,125,123,282
496,265,276,273,255,257,247,300
277,261,253,260,286,287,259,254
146,269,261,259,253,281,277,144
123,266,275,122,324,297,120,308
345,268,256,276,496,273,265,255
303,300,331,377,257,312,318,262
292,263,328,323,299,279,316,282
122,308,324,120,322,290,335,329
273,284,496,377,303,301,300,257
286,260,253,278,283,254,272,295
272,345,294,283,268,276,256,496
258,282,266,297,292,299,275,290
127,250,125,271,267,123,266,258
269,277,287,330,286,260,253,261
297,290,299,275,308,306,122,302
272,256,268,244,345,255,265,496
377,301,303,273,312,310,326,331
147,1948,1947,1943,291,1944,1942,1940
278,260,295,294,345,272,283,313
286,295,277,278,313,294,371,260
151,293,1961,1963,285,1956,1958,149
1934,1931,1930,1927,1926,1925,1924,1922
